id
>othe_000000001 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=55118; species_name=Sardinops melanostictus; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AB032554'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 41697}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Sardinops melanostictus; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=41697; species=41697; order_name=Clupeiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Sardinops melanostictus'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Sardinops melanostictus']}; genus_name=Sardinops; family_name=Clupeidae; genus=28380; order=32446; 
>othe_000000072 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=9702; species_name=Zalophus californianus; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AM181017'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 9704}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Zalophus californianus; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=9704; species=9704; order_name=Carnivora; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Zalophus californianus'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Zalophus californianus']}; genus_name=Zalophus; family_name=Otariidae; genus=9703; order=33554; 
>othe_000000074 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=1158979; species_name=Aetobatus narinari; best_match={'db_elas02_fish_addhuman_clean_uniq': 'KX151649'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 87140}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Aetobatus narinari; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=87140; species=87140; order_name=Myliobatiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.9945054945054945}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Aetobatus narinari'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Aetobatus narinari']}; genus_name=Aetobatus; family_name=Myliobatidae; genus=87139; order=117851; 
>othe_000000081 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=None; species_name=None; best_match={'db_elas02_fish_addhuman_clean_uniq': 'KF777869'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 117571}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'clade'}; scientific_name=Euteleostomi; match_count={'db_elas02_fish_addhuman_clean_uniq': 3574}; rank=clade; taxid=117571; species=None; order_name=None; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.7528735632183908}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Euteleostomi'}; species_list={'db_elas02_fish_addhuman_clean_uniq': []}; genus_name=None; family_name=None; genus=None; order=None; 
>othe_000000083 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=88694; species_name=Hemiramphus far; best_match={'db_elas02_fish_addhuman_clean_uniq': 'MH734932'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 293920}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Hemiramphus far; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=293920; species=293920; order_name=Beloniformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.9822485207100592}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Hemiramphus far'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Hemiramphus far']}; genus_name=Hemiramphus; family_name=Hemiramphidae; genus=88695; order=76071; 
>othe_000000094 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=8157; species_name=Decapterus macrosoma; best_match={'db_elas02_fish_addhuman_clean_uniq': 'KF841444'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 166264}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Decapterus macrosoma; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=166264; species=166264; order_name=Carangiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Decapterus macrosoma'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Decapterus macrosoma']}; genus_name=Decapterus; family_name=Carangidae; genus=58219; order=1489907; 
>othe_000000100 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=8065; species_name=Porichthys myriaster; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AP006739'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 262771}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Porichthys myriaster; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=262771; species=262771; order_name=Batrachoidiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.927710843373494}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Porichthys myriaster'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Porichthys myriaster']}; genus_name=Porichthys; family_name=Batrachoididae; genus=45383; order=8064; 
">othe_000000101 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=9604; species_name=None; best_match={'db_elas02_fish_addhuman_clean_uniq': 'HM068587'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 9596}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'genus'}; scientific_name=Pan; match_count={'db_elas02_fish_addhuman_clean_uniq': 124}; rank=genus; taxid=9596; species=None; order_name=Primates; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.9593023255813954}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Pan'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Pan paniscus', 'Pan troglodytes']}; genus_name=Pan; family_name=Hominidae; genus=9596; order=9443; "
">othe_000000107 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=9604; species_name=None; best_match={'db_elas02_fish_addhuman_clean_uniq': 'HM068587'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 9596}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'genus'}; scientific_name=Pan; match_count={'db_elas02_fish_addhuman_clean_uniq': 134}; rank=genus; taxid=9596; species=None; order_name=Primates; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.9418604651162791}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Pan'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Pan paniscus', 'Pan troglodytes']}; genus_name=Pan; family_name=Hominidae; genus=9596; order=9443; "
>othe_000000108 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=30854; species_name=Mulloidichthys vanicolensis; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AP012310'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 342443}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Mulloidichthys vanicolensis; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=342443; species=342443; order_name=Syngnathiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Mulloidichthys vanicolensis'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Mulloidichthys vanicolensis']}; genus_name=Mulloidichthys; family_name=Mullidae; genus=342442; order=129912; 
>othe_000000116 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=None; species_name=None; best_match={'db_elas02_fish_addhuman_clean_uniq': 'LC433688'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 7776}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'clade'}; scientific_name=Gnathostomata; match_count={'db_elas02_fish_addhuman_clean_uniq': 12304}; rank=clade; taxid=7776; species=None; order_name=None; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.616580310880829}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Gnathostomata'}; species_list={'db_elas02_fish_addhuman_clean_uniq': []}; genus_name=None; family_name=None; genus=None; order=None; 
>othe_000000117 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=None; species_name=None; best_match={'db_elas02_fish_addhuman_clean_uniq': 'KJ868104'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 7776}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'clade'}; scientific_name=Gnathostomata; match_count={'db_elas02_fish_addhuman_clean_uniq': 11870}; rank=clade; taxid=7776; species=None; order_name=None; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.6179775280898876}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Gnathostomata'}; species_list={'db_elas02_fish_addhuman_clean_uniq': []}; genus_name=None; family_name=None; genus=None; order=None; 
>othe_000000118 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=8045; species_name=Trisopterus luscus; best_match={'db_elas02_fish_addhuman_clean_uniq': 'MN122935'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 27722}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Trisopterus luscus; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=27722; species=27722; order_name=Gadiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.9588235294117647}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Trisopterus luscus'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Trisopterus luscus']}; genus_name=Trisopterus; family_name=Gadidae; genus=27721; order=8043; 
>othe_000000123 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=9681; species_name=Felis catus; best_match={'db_elas02_fish_addhuman_clean_uniq': 'U20754'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 9685}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Felis catus; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=9685; species=9685; order_name=Carnivora; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Felis catus'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Felis catus']}; genus_name=Felis; family_name=Felidae; genus=9682; order=33554; 
>othe_000000135 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=8247; species_name=Bodianus bilunulatus; best_match={'db_elas02_fish_addhuman_clean_uniq': 'KY815241'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 1003692}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Bodianus bilunulatus; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=1003692; species=1003692; order_name=Labriformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.9826589595375722}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Bodianus bilunulatus'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Bodianus bilunulatus']}; genus_name=Bodianus; family_name=Labridae; genus=241267; order=1489928; 
>othe_000000157 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=9604; species_name=Pan troglodytes; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AC197159'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 9598}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Pan troglodytes; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=9598; species=9598; order_name=Primates; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.8802395209580839}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Pan troglodytes'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Pan troglodytes']}; genus_name=Pan; family_name=Hominidae; genus=9596; order=9443; 
">othe_000000180 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=None; species_name=None; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AC197159'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 314295}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'superfamily'}; scientific_name=Hominoidea; match_count={'db_elas02_fish_addhuman_clean_uniq': 3}; rank=superfamily; taxid=314295; species=None; order_name=Primates; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.8323353293413174}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Hominoidea'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Hylobates agilis', 'Hylobates moloch', 'Pan troglodytes']}; genus_name=None; family_name=None; genus=None; order=9443; "
>othe_000000184 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=9604; species_name=Pan troglodytes; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AC197159'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 9598}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Pan troglodytes; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=9598; species=9598; order_name=Primates; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.8698224852071006}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Pan troglodytes'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Pan troglodytes']}; genus_name=Pan; family_name=Hominidae; genus=9596; order=9443; 
>othe_000000185 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=30871; species_name=Pseudanthias squamipinnis; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AP006795'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 270578}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Pseudanthias squamipinnis; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=270578; species=270578; order_name=Perciformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Pseudanthias squamipinnis'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Pseudanthias squamipinnis']}; genus_name=Pseudanthias; family_name=Serranidae; genus=270577; order=8111; 
>othe_000000194 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=8045; species_name=Pollachius virens; best_match={'db_elas02_fish_addhuman_clean_uniq': 'DQ356945'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 8060}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Pollachius virens; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=8060; species=8060; order_name=Gadiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Pollachius virens'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Pollachius virens']}; genus_name=Pollachius; family_name=Gadidae; genus=8059; order=8043; 
>othe_000000195 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=86367; species_name=Taeniura meyeni; best_match={'db_elas02_fish_addhuman_clean_uniq': 'AF448025'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 651724}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Taeniura meyeni; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=651724; species=651724; order_name=Myliobatiformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.994475138121547}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Taeniura meyeni'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Taeniura meyeni']}; genus_name=Taeniura; family_name=Potamotrygonidae; genus=86376; order=117851; 
>othe_000000217 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=8247; species_name=Scarus tricolor; best_match={'db_elas02_fish_addhuman_clean_uniq': 'EU601216'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 544419}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Scarus tricolor; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=544419; species=544419; order_name=Labriformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Scarus tricolor'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Scarus tricolor']}; genus_name=Scarus; family_name=Labridae; genus=59660; order=1489928; 
>othe_000000235 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=7805; species_name=Carcharhinus amblyrhynchoides; best_match={'db_elas02_fish_addhuman_clean_uniq': 'KF956523'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 443756}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Carcharhinus amblyrhynchoides; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=443756; species=443756; order_name=Carcharhiniformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 0.994475138121547}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Carcharhinus amblyrhynchoides'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Carcharhinus amblyrhynchoides']}; genus_name=Carcharhinus; family_name=Carcharhinidae; genus=7806; order=30483; 
>othe_000000236 count=1; id_status={'db_elas02_fish_addhuman_clean_uniq': True}; family=29146; species_name=Acanthurus leucosternon; best_match={'db_elas02_fish_addhuman_clean_uniq': 'EU136032'}; taxid_by_db={'db_elas02_fish_addhuman_clean_uniq': 459747}; rank_by_db={'db_elas02_fish_addhuman_clean_uniq': 'species'}; scientific_name=Acanthurus leucosternon; match_count={'db_elas02_fish_addhuman_clean_uniq': 1}; rank=species; taxid=459747; species=459747; order_name=Acanthuriformes; best_identity={'db_elas02_fish_addhuman_clean_uniq': 1.0}; scientific_name_by_db={'db_elas02_fish_addhuman_clean_uniq': 'Acanthurus leucosternon'}; species_list={'db_elas02_fish_addhuman_clean_uniq': ['Acanthurus leucosternon']}; genus_name=Acanthurus; family_name=Acanthuridae; genus=12912; order=1489937; 
